=================================================
--- Procesamiento iniciado: 2026-04-08 13:42:53 ---
=================================================
=================================================
--- Procesamiento iniciado: 2026-04-22 13:07:05 ---
=================================================
[2026-04-22 13:07:05] | Línea 47 | ERROR: Kilos no es un número válido: '---' | Contenido: '1047;Lugo;---;Entregado'
[2026-04-22 13:07:05] | Línea 48 | ERROR: Destino vacío | Contenido: '1048;;3181.22;Retrasado'
[2026-04-22 13:07:05] | Línea 63 | ERROR: Destino vacío | Contenido: '1063;;1563.85;En_Almacén'
[2026-04-22 13:07:05] | Línea 66 | ERROR: Destino vacío | Contenido: '1066;;955.7;Entregado'
[2026-04-22 13:07:05] | Línea 68 | ERROR: Destino vacío | Contenido: '1068;;4987.73;Retrasado'
[2026-04-22 13:07:05] | Línea 74 | ERROR: Destino vacío | Contenido: '1074;;1019.81;Cancelado'
[2026-04-22 13:07:05] | Línea 81 | ERROR: ID de envío vacío | Contenido: ';;685.89;Pendiente'
[2026-04-22 13:07:05] | Línea 108 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1108;Mérida;4139.87;Devuelto;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 117 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '1117;Toledo;ERROR_PESO;Devuelto'
[2026-04-22 13:07:05] | Línea 125 | ERROR: Destino vacío | Contenido: '1125;;2035.38;Retrasado'
[2026-04-22 13:07:05] | Línea 143 | ERROR: Kilos no es un número válido: 'ERROR_PESO' | Contenido: '1143;Valencia;ERROR_PESO;En_Almacén'
[2026-04-22 13:07:05] | Línea 165 | ERROR: ID de envío vacío | Contenido: ';;55.91;Entregado'
[2026-04-22 13:07:05] | Línea 213 | ERROR: Número incorrecto de campos. Se esperaban5campos separados por ';'. | Contenido: '1213;Huelva;3665.23;En_Almacén;EXTRA_CAMPO'
[2026-04-22 13:07:05] | Línea 217 | ERROR: Kilos no es un número válido: '??' | Contenido: '1217;Toledo;??;Entregado'
[2026-04-22 13:07:05] | Línea 225 | ERROR: Kilos debe ser un número positivo mayor que cero | Contenido: '1225;Oviedo;-2227.97;Entregado'
